df_id,lat,lon,manual_id,state,source,elev2,country,ownership,tot,n2,p
282,49.04917,-104.55153,26436,Saskatchewan,Synthetic data,660,Canada,Corporate/Other (Private),51,10,0.19607843137254902
283,49.04976,-120.86123,69536,British Columbia,Synthetic data,1799,Canada,State (Public),50,50,1
284,49.04984,-119.62025,46714,British Columbia,Defoliation surveys,657,Canada,Corporate/Other (Private),47,25,0.5319148936170213
285,49.05029,-119.58154,46109,British Columbia,Defoliation surveys,948,Canada,State (Public),51,40,0.7843137254901961
286,49.05044,-119.54554,46715,British Columbia,Defoliation surveys,858,Canada,Corporate/Other (Private),52,38,0.7307692307692307
287,49.05073,-106.87339,74575,Saskatchewan,Synthetic data,821,Canada,State (Public),50,50,1
288,49.05086,-119.58708,46110,British Columbia,Defoliation surveys,901,Canada,State (Public),49,31,0.6326530612244898
289,49.05174,-119.58308,46716,British Columbia,Defoliation surveys,931,Canada,State (Public),51,36,0.7058823529411765
290,49.05226,-125.01929,26437,British Columbia,Synthetic data,125,Canada,Tribal,51,22,0.43137254901960786
291,49.05259,-103.94979,26438,Saskatchewan,Synthetic data,690,Canada,Corporate/Other (Private),52,52,1
292,49.05274,-119.61745,46041,British Columbia,Defoliation surveys,580,Canada,Corporate/Other (Private),50,33,0.66
293,49.05322,-118.94907,46111,British Columbia,Defoliation surveys,603,Canada,Corporate/Other (Private),52,50,0.9615384615384616
294,49.05341,-119.58665,46112,British Columbia,Defoliation surveys,879,Canada,State (Public),48,28,0.5833333333333334
295,49.05381,-119.59352,46113,British Columbia,Defoliation surveys,821,Canada,Corporate/Other (Private),49,25,0.5102040816326531
296,49.05398,-109.95891,26440,Saskatchewan,Synthetic data,894,Canada,Corporate/Other (Private),50,50,1
297,49.05447,-119.54442,46717,British Columbia,Defoliation surveys,771,Canada,Corporate/Other (Private),50,48,0.96
298,49.05473,-119.59279,46718,British Columbia,Defoliation surveys,823,Canada,State (Public),51,27,0.5294117647058824
299,49.05483,-114.82231,26441,British Columbia,Synthetic data,1339,Canada,State (Public),51,50,0.9803921568627451
300,49.05517,-118.99829,49081,British Columbia,Defoliation surveys,648,Canada,Corporate/Other (Private),49,42,0.8571428571428571
301,49.05537,-109.23663,26442,Saskatchewan,Synthetic data,904,Canada,State (Public),51,51,1
302,49.0557,-119.58299,46114,British Columbia,Defoliation surveys,950,Canada,State (Public),50,31,0.62
303,49.05689,-118.6736,26444,British Columbia,Synthetic data,1113,Canada,State (Public),49,36,0.7346938775510204
304,49.05697,-113.072,72300,Alberta,Synthetic data,1264,Canada,Corporate/Other (Private),52,52,1
305,49.05715,-108.86764,73847,Saskatchewan,Synthetic data,970,Canada,State (Public),51,51,1
306,49.05738,-122.51128,26445,British Columbia,Synthetic data,137,Canada,Corporate/Other (Private),51,51,1
307,49.0578,-122.63453,26446,British Columbia,Synthetic data,61,Canada,Corporate/Other (Private),47,47,1
308,49.05826,-119.59065,46115,British Columbia,Defoliation surveys,862,Canada,State (Public),52,31,0.5961538461538461
309,49.05892,-112.44134,72482,Alberta,Synthetic data,1154,Canada,Corporate/Other (Private),47,47,1
310,49.05908,-105.04642,26448,Saskatchewan,Synthetic data,789,Canada,State (Public),51,26,0.5098039215686274
