estimate,b1,b2,ci1,ci2,metric,thresh,lag_pr,lag_rh,lag_temp
0.8766940255774003,NA,NA,0.8722424068606561,0.8811456442941444,F1,0.47500000000000003,0,0,0
0.8109505974674514,0.8035961688415423,0.8180891157398411,0.8037035576226292,0.8181976373122735,recall,0.5,0,0,0
0.9396104644462372,0.937329335004934,0.9418126798552041,0.9373689526039223,0.9418519762885521,accuracy,0.5,0,0,0
0.9478840942255576,0.9432526011492725,0.952152118586004,0.9434365632931887,0.9523316251579266,precision,0.5,0,0,0
0.9844580522831121,0.9830467683174129,0.9857520673093766,0.9831063684461852,0.9858097361200391,specificity,0.5,0,0,0
0.8740868896578239,NA,NA,0.8695792033982767,0.8785945759173711,F1,0.5,0,0,0
0.7987337257000179,0.7912096763337428,0.8060503473732502,0.791312727771534,0.8061547236285017,recall,0.525,0,0,0
0.9378126080442549,0.9355007039083457,0.940045920849036,0.9355401520820558,0.9400850640064541,accuracy,0.525,0,0,0
0.953075122366461,0.9486092026367801,0.9571656983701022,0.9487994591244231,0.9573507856084988,precision,0.525,0,0,0
0.9862920021137049,0.9849614846816838,0.9875048077749176,0.9850213883333775,0.9875626158940324,specificity,0.525,0,0,0
0.869105375509412,NA,NA,0.864500762583703,0.873709988435121,F1,0.525,0,0,0
0.7887462100945247,0.7810914861802213,0.7962004410749002,0.7811909974420744,0.796301422746975,recall,0.55,0,0,0
0.9363374438169875,0.9340006927395023,0.9385958683452826,0.9340400021027995,0.9386348855311755,accuracy,0.55,0,0,0
0.9574583243126218,0.9531470125511707,0.961384103123193,0.9533427132274408,0.9615739353978028,precision,0.55,0,0,0
0.9877840290945261,0.9865234863338304,0.9889265000646342,0.9865836489977351,0.9889844091913171,specificity,0.55,0,0,0
0.8649520829258752,NA,NA,0.8602679614552955,0.869636204396455,F1,0.55,0,0,0
0.7778669520242554,0.7700775953690749,0.7854633697050503,0.7701732556410721,0.7855606484074387,recall,0.5750000000000001,0,0,0
0.9345395874150052,0.9321730284435644,0.9368281425418844,0.932212168866814,0.9368670059631964,accuracy,0.5750000000000001,0,0,0
0.9615299823633157,0.9573708850487781,0.9652930046046587,0.9575722432881971,0.9654877214384342,precision,0.5750000000000001,0,0,0
0.9891517204936122,0.9879593356404864,0.9902257038199449,0.9880197485064607,0.9902836924807638,specificity,0.5750000000000001,0,0,0
0.860001971803214,NA,NA,0.8552270249321366,0.8647769186742914,F1,0.5750000000000001,0,0,0
0.767701087925807,0.7597928251925284,0.7754234703233783,0.7598848915628997,0.7755172842887144,recall,0.6000000000000001,0,0,0
0.9327878298951251,0.930392710739079,0.935105259638365,0.9304316867882586,0.9351439730019916,accuracy,0.6000000000000001,0,0,0
0.965134529147982,0.9611209800349423,0.9687421149822004,0.961327682887216,0.968941375408748,precision,0.6000000000000001,0,0,0
0.9903329085200957,0.9892030582081229,0.9913440728406405,0.9892637002467586,0.9914021167934328,specificity,0.6000000000000001,0,0,0
0.8551703585973974,NA,NA,0.8503091295251507,0.8600315876696442,F1,0.6000000000000001,0,0,0
0.7547708221865526,0.7467204549689285,0.7626442871863459,0.7468079559932661,0.762733688379839,recall,0.625,0,0,0
0.9303906880258154,0.9279572282645338,0.9327468886516721,0.9279959797307387,0.9327853963208921,accuracy,0.625,0,0,0
0.9690863292878407,0.9652430220035646,0.9725115152717598,0.9654563345171141,0.9727163240585672,precision,0.625,0,0,0
0.9916073482328805,0.9905495595566822,0.9925461444602517,0.9906104673653195,0.9926042291004415,specificity,0.625,0,0,0
0.8486063765791056,NA,NA,0.8436322901334288,0.8535804630247825,F1,0.625,0,0,0
0.7456750490458356,0.7375305694637215,0.7536489420661222,0.7376148626367881,0.7537352354548831,recall,0.65,0,0,0
0.9288694249164458,0.9264120614223431,0.9312498023370639,0.9264506705616896,0.9312881792712019,accuracy,0.65,0,0,0
0.9727780362959516,0.9691190089671275,0.9760088970927493,0.9693379093306639,0.9762181632612393,precision,0.65,0,0,0
0.9927263684684965,0.9917366362400932,0.993596839756486,0.9917977993884994,0.9936549375484935,specificity,0.65,0,0,0
0.8442200908632004,NA,NA,0.8391700208591194,0.8492701608672814,F1,0.65,0,0,0
0.7348849652220438,0.7266348387893079,0.7429719972081636,0.7267153301906026,0.743054600253485,recall,0.675,0,0,0
0.9267258268986978,0.9242353226441098,0.9291397298504639,0.9242737314751395,0.929177922322256,accuracy,0.675,0,0,0
0.975612643542086,0.9720986415510486,0.9786883253886052,0.9723231737893406,0.9789021132948313,precision,0.675,0,0,0
0.9935967175406422,0.9926637098177717,0.9944102560744138,0.9927250915036315,0.9944683435776528,specificity,0.675,0,0,0
0.8383093433701236,NA,NA,0.833163010357465,0.8434556763827823,F1,0.675,0,0,0
0.723203138933476,0.714845687985844,0.7314056067472835,0.7149220675728613,0.7314842102940907,recall,0.7000000000000001,0,0,0
0.9244439322346433,0.921918819677843,0.9268928530850521,0.9219570155712754,0.9269308488980111,accuracy,0.7000000000000001,0,0,0
0.9789956542732979,0.9756764187639846,0.981864782873364,0.9759076279960021,0.9820836805505938,precision,0.7000000000000001,0,0,0
0.994591402194523,0.9937282678566741,0.9953348303046512,0.9937899299535616,0.9953928744354844,specificity,0.7000000000000001,0,0,0
0.8318801928402914,NA,NA,0.8266308991470758,0.8371294865335069,F1,0.7000000000000001,0,0,0
0.7107187444266096,0.7022543807244408,0.7190367935880264,0.7023263704739897,0.7191111183792296,recall,0.7250000000000001,0,0,0
0.9216549498674658,0.9190884365658798,0.9241457720828755,0.9191263725849346,0.924183527149997,accuracy,0.7250000000000001,0,0,0
0.9809230769230769,0.9777114186662943,0.9836739877566584,0.9779485628592103,0.9838975909869435,precision,0.7250000000000001,0,0,0
0.9951819962077647,0.9943634722391961,0.9958806739372541,0.9944253225499551,0.9959386698655743,specificity,0.7250000000000001,0,0,0
0.8242411706913491,NA,NA,0.8188767257517225,0.8296056156309756,F1,0.7250000000000001,0,0,0
