value,yhat,lb1,lb2,lb3,ub1,ub2,ub3,param,lag
489.684505277484,0.453044029812211,0.0145,0.0525,0.07275,0.9655,0.85275,0.78275,mean_biomass,0
500.566383172539,0.453679152968312,0.01535,0.0525,0.073,0.9655,0.85275,0.78375,mean_biomass,0
511.448261067594,0.453689897929325,0.0155,0.0525,0.073,0.9655,0.85275,0.78375,mean_biomass,0
522.330138962649,0.453689897929325,0.0155,0.0525,0.073,0.9655,0.85275,0.78375,mean_biomass,0
533.212016857705,0.453689897929325,0.0155,0.0525,0.073,0.9655,0.85275,0.78375,mean_biomass,0
544.09389475276,0.453689897929325,0.0155,0.0525,0.073,0.9655,0.85275,0.78375,mean_biomass,0
0,0.381994332753843,0,0,0.0385,0.85975,0.7645,0.67,Temperate or sub-polar needleleaf forest,0
0.02,0.452499487925366,0.001,0.00375,0.01925,0.96725,0.90975,0.8475,Temperate or sub-polar needleleaf forest,0
0.04,0.47265712945591,0.00225,0.007,0.02375,0.982,0.944,0.90175,Temperate or sub-polar needleleaf forest,0
0.06,0.48443398970687,0.003,0.009,0.02525,0.99075,0.96625,0.92675,Temperate or sub-polar needleleaf forest,0
0.08,0.494059409263817,0.00325,0.00925,0.02525,0.9965,0.988,0.95725,Temperate or sub-polar needleleaf forest,0
0.1,0.49568057731036,0.003,0.009,0.025,0.998,0.9915,0.9635,Temperate or sub-polar needleleaf forest,0
0.12,0.496595930082448,0.003,0.009,0.02575,0.9985,0.99275,0.966,Temperate or sub-polar needleleaf forest,0
0.14,0.497185525930771,0.003,0.009,0.026,0.99875,0.9935,0.9675,Temperate or sub-polar needleleaf forest,0
0.16,0.497958121761881,0.003,0.00940000000000009,0.02625,0.99875,0.994,0.969,Temperate or sub-polar needleleaf forest,0
0.18,0.502775965196137,0.0045,0.0125,0.03325,0.99875,0.99425,0.9705,Temperate or sub-polar needleleaf forest,0
0.2,0.506220480403463,0.00675,0.01675,0.038,0.999,0.9945,0.972,Temperate or sub-polar needleleaf forest,0
0.22,0.50572887154242,0.004,0.0125,0.03375,0.999,0.99475,0.97325,Temperate or sub-polar needleleaf forest,0
0.24,0.507023839440935,0.00425,0.01275,0.034,0.999,0.995,0.975,Temperate or sub-polar needleleaf forest,0
0.26,0.510712278603026,0.00425,0.0125,0.03425,0.999,0.99525,0.97725,Temperate or sub-polar needleleaf forest,0
0.28,0.511931214176291,0.00375,0.012,0.03375,0.999,0.99575,0.97975,Temperate or sub-polar needleleaf forest,0
0.3,0.512673885914935,0.0035,0.012,0.03375,0.99925,0.99625,0.981,Temperate or sub-polar needleleaf forest,0
0.32,0.512945164982701,0.0035,0.012,0.034,0.999,0.996,0.981,Temperate or sub-polar needleleaf forest,0
0.34,0.514056319603422,0.00375,0.0125,0.03475,0.99925,0.996,0.98075,Temperate or sub-polar needleleaf forest,0
0.36,0.514705126770745,0.00375,0.013,0.0355,0.99925,0.99625,0.9805,Temperate or sub-polar needleleaf forest,0
0.38,0.514918377885261,0.00375,0.013,0.0355,0.99925,0.996,0.9795,Temperate or sub-polar needleleaf forest,0
0.4,0.515736169681739,0.00425,0.01325,0.03575,0.99925,0.996,0.9785,Temperate or sub-polar needleleaf forest,0
0.42,0.517126865414737,0.0045,0.01375,0.03625,0.99925,0.99575,0.97775,Temperate or sub-polar needleleaf forest,0
0.44,0.518449003390881,0.0055,0.01725,0.03875,0.99925,0.996,0.977,Temperate or sub-polar needleleaf forest,0
0.46,0.518007229288948,0.005,0.0155,0.03825,0.999,0.995,0.97625,Temperate or sub-polar needleleaf forest,0
0.48,0.518080253713617,0.0045,0.0155,0.03825,0.99925,0.995,0.97475,Temperate or sub-polar needleleaf forest,0
0.5,0.518326626159698,0.00475,0.0165,0.0395,0.999,0.9945,0.9725,Temperate or sub-polar needleleaf forest,0
0.52,0.518267673029588,0.00475,0.01675,0.04,0.999,0.9945,0.97125,Temperate or sub-polar needleleaf forest,0
0.54,0.518220097423275,0.0045,0.01675,0.04025,0.999,0.99425,0.97,Temperate or sub-polar needleleaf forest,0
0.56,0.51775873969396,0.0045,0.01725,0.0415,0.9985,0.993,0.96675,Temperate or sub-polar needleleaf forest,0
0.58,0.517017345990326,0.00425,0.0175,0.042,0.99825,0.9905,0.964,Temperate or sub-polar needleleaf forest,0
0.6,0.517941137236002,0.004,0.0175,0.0425,0.99825,0.99075,0.96375,Temperate or sub-polar needleleaf forest,0
0.62,0.516997448233127,0.004,0.0175,0.04275,0.99725,0.988,0.96075,Temperate or sub-polar needleleaf forest,0
0.64,0.518207166462984,0.004,0.01775,0.04325,0.998,0.98825,0.96025,Temperate or sub-polar needleleaf forest,0
0.66,0.517978561715751,0.00425,0.018,0.04375,0.998,0.98775,0.95875,Temperate or sub-polar needleleaf forest,0
0.68,0.517145235554332,0.004,0.018,0.044,0.99775,0.98625,0.95675,Temperate or sub-polar needleleaf forest,0
0.7,0.517570218772054,0.00425,0.01825,0.0445,0.997,0.98575,0.957,Temperate or sub-polar needleleaf forest,0
0.72,0.517285462244178,0.0045,0.01875,0.04525,0.99625,0.9845,0.95475,Temperate or sub-polar needleleaf forest,0
0.74,0.515753326333546,0.0045,0.01875,0.0455,0.99525,0.9825,0.951,Temperate or sub-polar needleleaf forest,0
0.76,0.513628672736974,0.0045,0.01875,0.04575,0.99375,0.98,0.947,Temperate or sub-polar needleleaf forest,0
0.78,0.513467494018624,0.0045,0.019,0.04575,0.99375,0.97875,0.94875,Temperate or sub-polar needleleaf forest,0
0.8,0.512300045613371,0.0045,0.019,0.04575,0.993,0.977,0.9465,Temperate or sub-polar needleleaf forest,0
0.82,0.507104570804,0.005,0.01925,0.046,0.98525,0.9655,0.93175,Temperate or sub-polar needleleaf forest,0
0.84,0.504612264832952,0.0055,0.0195,0.0465,0.98525,0.9625,0.9255,Temperate or sub-polar needleleaf forest,0
0.86,0.503544632252956,0.00525,0.0195,0.04675,0.98675,0.9635,0.92375,Temperate or sub-polar needleleaf forest,0
0.88,0.50273041206947,0.0055,0.01975,0.04725,0.98725,0.96375,0.921,Temperate or sub-polar needleleaf forest,0
0.9,0.500234091261167,0.0055,0.02,0.0475,0.989,0.9605,0.91625,Temperate or sub-polar needleleaf forest,0
0.92,0.497797024803346,0.0055,0.02,0.04775,0.98975,0.957,0.911,Temperate or sub-polar needleleaf forest,0
0.94,0.492786245417147,0.0065,0.02075,0.0485,0.99475,0.9565,0.8965,Temperate or sub-polar needleleaf forest,0
0.96,0.490713608275815,0.0075,0.02275,0.05025,0.99675,0.95275,0.8905,Temperate or sub-polar needleleaf forest,0
0.98,0.485161656367799,0.00925,0.02575,0.053,0.992,0.93625,0.87175,Temperate or sub-polar needleleaf forest,0
1,0.458581962063446,0.01225,0.0265,0.05425,0.96315,0.8815,0.7945,Temperate or sub-polar needleleaf forest,0
11.8071540026667,0.456783521524347,0,2.5e-4,0.02625,0.9135,0.88325,0.83225,min_rh,0
13.1408130889006,0.456783521524347,0,2.5e-4,0.02625,0.9135,0.88325,0.83225,min_rh,0
14.4744721751345,0.456783035268603,0,2.5e-4,0.02625,0.9135,0.88325,0.83225,min_rh,0
15.8081312613684,0.456886835809078,0,2.5e-4,0.026,0.914,0.8835,0.8325,min_rh,0
17.1417903476023,0.456783702256571,0,0,0.02125,0.91525,0.88425,0.8335,min_rh,0
18.4754494338363,0.458396341463415,0,0,0.019,0.9205,0.8881,0.83675,min_rh,0
19.8091085200702,0.458399125600289,0,0,0.017,0.9225,0.88975,0.83775,min_rh,0
21.1427676063041,0.460739874692325,0,0,0.01675,0.93075,0.89575,0.8425,min_rh,0
22.476426692538,0.469428180456822,0,0,0.01675,0.9585,0.9115,0.8585,min_rh,0
23.8100857787719,0.472704412448147,0,0,0.0155,0.967,0.9176,0.8655,min_rh,0
25.1437448650058,0.478198590288655,0,0,0.0165,0.975,0.9275,0.8775,min_rh,0
26.4774039512398,0.481847698676352,0,0,0.016,0.98065,0.933,0.886,min_rh,0
27.8110630374737,0.485945246742517,0,0,0.0155,0.98175,0.94225,0.89575,min_rh,0
29.1447221237076,0.488045294937776,0,0,0.01575,0.97875,0.94525,0.9015,min_rh,0
30.4783812099415,0.498243196722722,0,0,0.017,0.99065,0.967,0.92475,min_rh,0
31.8120402961754,0.510292084789232,0,0,0.01725,0.9965,0.9855,0.95325,min_rh,0
33.1456993824093,0.515177483346817,0,0,0.0175,0.99875,0.99425,0.9695,min_rh,0
34.4793584686433,0.51767060691602,0,0,0.017,0.9995,0.99675,0.97925,min_rh,0
35.8130175548772,0.519562047093654,0,2.5e-4,0.0185,0.99975,0.99825,0.98425,min_rh,0
37.1466766411111,0.519874201766012,0,0,0.01575,0.99975,0.99825,0.9845,min_rh,0
38.480335727345,0.522069887429644,0,2.5e-4,0.02125,0.99975,0.99775,0.98625,min_rh,0
39.8139948135789,0.521737581114343,0,2.5e-4,0.0205,0.99975,0.997,0.98375,min_rh,0
41.1476538998129,0.519466388109541,0,2.5e-4,0.02025,0.999,0.9955,0.97725,min_rh,0
42.4813129860468,0.517518624025337,0,5e-4,0.01975,0.9985,0.99325,0.9715,min_rh,0
