metric,estimate,ci1,ci2,b1,b2,thresh,lag_pr,lag_rh,lag_temp,lag
accuracy,0.9305289846721218,0.9281364786134996,0.932921490730744,0.9280977142010928,0.932882971183961,0.225,1,1,1,1
precision,0.8304319793681496,0.8238291634913703,0.837034795244929,0.8237258325912751,0.8369307620776343,0.225,1,1,1,1
specificity,0.9345994840073358,0.9318978460656788,0.937301121948993,0.9318450086535296,0.9372487536969244,0.225,1,1,1,1
F1,0.8724070781474896,NA,NA,NA,NA,0.225,1,1,1,1
brier,0.04725986879681918,NA,NA,NA,NA,0.225,1,1,1,1
log-likelihood,-7288.665004215743,NA,NA,NA,NA,0.225,1,1,1,1
AUC,0.9758909423607618,0.9744219279852806,0.977359956736243,NA,NA,0.2,11,11,11,11
recall,0.9307116104868914,0.926011440176594,0.9354117807971888,0.925860726592951,0.9352634356426353,0.2,11,11,11,11
accuracy,0.9207790711075255,0.918237607148066,0.9233205350669852,0.9181997526605192,0.9232828556884224,0.2,11,11,11,11
precision,0.7969000534473544,0.7900099302048029,0.8037901766899058,0.789922223205074,0.8037013618869415,0.2,11,11,11,11
specificity,0.9173168381461564,0.9143073543333716,0.9203263219589416,0.9142567043162612,0.9202759496594954,0.2,11,11,11,11
F1,0.8586236682983013,NA,NA,NA,NA,0.2,11,11,11,11
brier,0.04852065542526219,NA,NA,NA,NA,0.2,11,11,11,11
log-likelihood,-7510.941052515988,NA,NA,NA,NA,0.2,11,11,11,11
AUC,0.9761571162401494,0.974702510098602,0.977611722381697,NA,NA,0.225,12,12,12,12
recall,0.9220617085785624,0.9171000002671702,0.9270234168899548,0.9169525131838804,0.9268778497240306,0.225,12,12,12,12
accuracy,0.9271356783919598,0.924689825140386,0.9295815316435334,0.9246513753666398,0.9295433012450712,0.225,12,12,12,12
precision,0.81888017739764,0.8121628092232425,0.8255975455720375,0.8120649186437511,0.8254987911811631,0.225,12,12,12,12
specificity,0.928904501367819,0.9260961552797244,0.9317128474559137,0.9260440368073796,0.9316611290574968,0.225,12,12,12,12
F1,0.8674132796443101,NA,NA,NA,NA,0.225,12,12,12,12
brier,0.04830409799283113,NA,NA,NA,NA,0.225,12,12,12,12
log-likelihood,-7492.646583544085,NA,NA,NA,NA,0.225,12,12,12,12
AUC,0.975755428407746,0.974289133923632,0.9772217228918602,NA,NA,0.225,13,13,13,13
recall,0.9239343677545924,0.9190276554339364,0.9288410800752483,0.9188794724555468,0.9286949088301464,0.225,13,13,13,13
accuracy,0.9265082182622928,0.9240526029686338,0.9289638335559518,0.924014209133759,0.9289256545593702,0.225,13,13,13,13
precision,0.8160838059231253,0.8093447357284699,0.8228228761177808,0.8092482540616509,0.8227254963170149,0.225,13,13,13,13
specificity,0.9274055650551842,0.9245699269295372,0.9302412031808314,0.92451799358272,0.9301896528638024,0.225,13,13,13,13
F1,0.8666666666666667,NA,NA,NA,NA,0.225,13,13,13,13
brier,0.04918856967369003,NA,NA,NA,NA,0.225,13,13,13,13
log-likelihood,-7607.821250998911,NA,NA,NA,NA,0.225,13,13,13,13
AUC,0.9755744142521764,0.9741065691642604,0.9770422593400928,NA,NA,0.2,14,14,14,14
recall,0.9328517924023542,0.9282194640815056,0.9374841207232028,0.9280679469365412,0.9373350935519796,0.2,14,14,14,14
accuracy,0.918785587496254,0.9162149552930506,0.9213562196994572,0.9161772810093758,0.9213187075505148,0.2,14,14,14,14
precision,0.7906431864560501,0.7837106278005037,0.7975757451115966,0.7836256843115764,0.797489636443892,0.2,14,14,14,14
specificity,0.9138815482667496,0.9108156527204748,0.9169474438130244,0.9107654252872172,0.9168974617907544,0.2,14,14,14,14
F1,0.8558805481693598,NA,NA,NA,NA,0.2,14,14,14,14
brier,0.04972206864064409,NA,NA,NA,NA,0.2,14,14,14,14
log-likelihood,-7633.306172720953,NA,NA,NA,NA,0.2,14,14,14,14
AUC,0.9755332364094564,0.9740483067633,0.977018166055613,NA,NA,0.25,15,15,15,15
recall,0.9149277688603532,0.9097640437880028,0.9200914939327036,0.9096191963543608,0.9199482395376708,0.25,15,15,15,15
accuracy,0.930690330759479,0.9283003974371132,0.9330802640818447,0.9282616179192156,0.9330417306795048,0.25,15,15,15,15
precision,0.833265654186632,0.8266818272380009,0.8398494811352631,0.8265767801892634,0.8397437726671384,0.25,15,15,15,15
specificity,0.9361847626744584,0.9335138064544282,0.9388557188944886,0.933460766914176,0.9388031690575788,0.25,15,15,15,15
F1,0.8721893994134399,NA,NA,NA,NA,0.25,15,15,15,15
brier,0.04976630021608851,NA,NA,NA,NA,0.25,15,15,15,15
