elev2,lat,lon
667,48.8181421,-118.2073232
504,47.41582609,-118.7081766
1199,40.33792519,-119.8245198
1766,35.12439363,-112.849347
885,51.33973708,-113.3431844
158,33.11834575,-114.6618374
NA,34.89166065,-121.9454468
2309,52.3205094,-117.7550003
691,47.79576996,-119.1699673
1877,43.53468241,-115.5028233
1180,41.50930387,-122.3095663
1402,33.10487615,-107.3727145
1672,44.80597527,-116.2862519
1836,41.53669238,-119.2563096
740,48.70238297,-107.6347258
1437,42.22293799,-104.8164992
428,53.09946804,-104.642798
1576,43.91592943,-119.0648089
1639,52.41456828,-120.0860883
1299,47.98253,-120.34264
613,50.64255795,-103.9492079
1591,51.85018127,-118.7869081
1867,34.7787448,-106.0700023
1777,38.76031113,-104.6655247
1113,53.06244962,-123.267294
1828,38.83770547,-114.3748426
1478,40.51896214,-112.7123184
1555,50.08614799,-122.7835553
1446,43.28162862,-117.6436683
2215,34.088,-116.884
1063,47.19342971,-111.7149965
2588,44.49012893,-110.0346052
27,37.05944657,-122.2273962
1227,48.4416314,-112.6246521
562,53.91363746,-104.9349031
1170,47.22943233,-116.84708
1282,40.80498353,-113.4716565
1268,47.71414822,-114.3051566
1052,50.59262933,-113.2251108
1243,32.04871134,-106.2390943
1712,45.92861188,-115.7028235
1339,49.05483148,-114.8223091
1763,44.738067,-116.625366
1799,43.83749652,-115.5883059
904,46.16176545,-104.6211626
1288,45.79167,-117.08333
1878,43.85348966,-115.4824315
1484,45.8956554,-117.8106214
1371,47.66654211,-114.8236499
1122,45.20264353,-117.7485235
236,50.56158718,-121.8134549
1678,45.22505221,-116.904427
1685,40.15829462,-110.2751142
1904,52.4097013,-117.6113817
1201,51.3277194,-114.1930285
2071,38.752,-104.843
1262,46.15708359,-117.7311778
2192,45.200971,-109.3531388
1108,45.89171238,-117.6875777
1651,46.705,-113.965
470,52.80087558,-104.9552484
665,41.98187697,-123.8661076
1226,45.28479249,-106.012381
2693,36.527,-105.221
896,48.65861,-120.55528
740,50.24841935,-119.394315
809,49.75255473,-111.7239027
711,46.07107017,-115.913227
656,44.91656264,-122.4956245
1510,38.12974119,-115.9828145
NA,48.92774493,-127.1218033
871,48.31707759,-118.0754153
755,47.97703803,-118.6441229
NA,48.14593166,-125.849855
1808,39.45329723,-115.7874367
2054,32.46694315,-110.7428788
95,46.88111139,-122.8826214
2236,38.05171187,-118.7921994
1474,44.35362057,-116.197124
272,39.6981345,-121.406016
2252,38.789,-104.904
2173,44.92597713,-114.3095456
840,52.54664962,-113.7255692
1210,53.50991153,-126.7116254
2533,34.64867123,-106.4390448
727,52.23448297,-110.8566205
1239,45.8528039,-117.7777717
1097,46.23697246,-117.8048529
1567,47.12405581,-115.8974746
103,46.16240094,-118.9450924
1522,44.928,-116.09
1221,53.40292731,-124.7420692
1427,51.54753533,-114.9242867
399,53.28922475,-104.4750218
1738,33.68667758,-105.8021362
70,47.25412051,-122.9037988
1754,51.01032501,-116.1777065
NA,37.58913974,-122.6234953
2075,38.30355587,-117.9931548
1731,38.16117623,-116.5664146
1815,39.80160007,-117.5382092
1847,36.37259718,-111.0521234
720,47.57054375,-106.2731849
1670,49.56979123,-119.988948
810,34.23490748,-116.2394878
544,50.62268756,-120.0350375
1124,51.50545408,-118.4051011
1495,40.57801343,-112.0267718
2355,52.20197886,-118.9385288
1339,52.29056064,-124.542207
1906,42.69622351,-110.9415239
958,36.65168034,-114.1904008
181,46.51208156,-123.0877454
2228,41.21438077,-106.5633292
