id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
2253,-104.875000000000000,49.125000000000000,-104.625000000000000,48.875000000000000,20,93,125675,4167,0,0
2254,-104.875000000000000,48.875000000000000,-104.625000000000000,48.625000000000000,21,93,126297,0,0,
2255,-104.875000000000000,48.625000000000000,-104.625000000000000,48.375000000000000,22,93,126917,0,0,
2256,-104.875000000000000,48.375000000000000,-104.625000000000000,48.125000000000000,23,93,127534,0,0,
2257,-104.625000000000000,54.125000000000000,-104.375000000000000,53.875000000000000,0,94,112725,7063,0,0
2258,-104.625000000000000,53.875000000000000,-104.375000000000000,53.625000000000000,1,94,113394,7113,0,0
2259,-104.625000000000000,53.625000000000000,-104.375000000000000,53.375000000000000,2,94,114062,7166,0,0
2260,-104.625000000000000,53.375000000000000,-104.375000000000000,53.125000000000000,3,94,114727,7217,0,0
2261,-104.625000000000000,53.125000000000000,-104.375000000000000,52.875000000000000,4,94,115389,7271,0,0
2262,-104.625000000000000,52.875000000000000,-104.375000000000000,52.625000000000000,5,94,116050,7322,0,0
2263,-104.625000000000000,52.625000000000000,-104.375000000000000,52.375000000000000,6,94,116708,7374,0,0
2264,-104.625000000000000,52.375000000000000,-104.375000000000000,52.125000000000000,7,94,117364,7429,0,0
2265,-104.625000000000000,52.125000000000000,-104.375000000000000,51.875000000000000,8,94,118018,7479,0,0
2266,-104.625000000000000,51.875000000000000,-104.375000000000000,51.625000000000000,9,94,118669,7537,0,0
2267,-104.625000000000000,51.625000000000000,-104.375000000000000,51.375000000000000,10,94,119318,7589,0,0
2268,-104.625000000000000,51.375000000000000,-104.375000000000000,51.125000000000000,11,94,119964,7640,0,0
2269,-104.625000000000000,51.125000000000000,-104.375000000000000,50.875000000000000,12,94,120608,7698,0,0
2270,-104.625000000000000,50.875000000000000,-104.375000000000000,50.625000000000000,13,94,121250,7751,0,0
2271,-104.625000000000000,50.625000000000000,-104.375000000000000,50.375000000000000,14,94,121889,7803,0,0
2272,-104.625000000000000,50.375000000000000,-104.375000000000000,50.125000000000000,15,94,122526,7862,0,0
2273,-104.625000000000000,50.125000000000000,-104.375000000000000,49.875000000000000,16,94,123161,7913,0,0
2274,-104.625000000000000,49.875000000000000,-104.375000000000000,49.625000000000000,17,94,123793,7970,0,0
2275,-104.625000000000000,49.625000000000000,-104.375000000000000,49.375000000000000,18,94,124423,8027,0,0
2276,-104.625000000000000,49.375000000000000,-104.375000000000000,49.125000000000000,19,94,125050,8080,0,0
2277,-104.625000000000000,49.125000000000000,-104.375000000000000,48.875000000000000,20,94,125675,4166,0,0
2278,-104.625000000000000,48.875000000000000,-104.375000000000000,48.625000000000000,21,94,126297,0,0,
2279,-104.625000000000000,48.625000000000000,-104.375000000000000,48.375000000000000,22,94,126917,0,0,
2280,-104.625000000000000,48.375000000000000,-104.375000000000000,48.125000000000000,23,94,127534,0,0,
2281,-104.375000000000000,54.125000000000000,-104.125000000000000,53.875000000000000,0,95,112725,7062,0,0
2282,-104.375000000000000,53.875000000000000,-104.125000000000000,53.625000000000000,1,95,113394,7113,0,0
2283,-104.375000000000000,53.625000000000000,-104.125000000000000,53.375000000000000,2,95,114062,7165,0,0
2284,-104.375000000000000,53.375000000000000,-104.125000000000000,53.125000000000000,3,95,114727,7218,0,0
2285,-104.375000000000000,53.125000000000000,-104.125000000000000,52.875000000000000,4,95,115389,7270,0,0
2286,-104.375000000000000,52.875000000000000,-104.125000000000000,52.625000000000000,5,95,116050,7324,0,0
2287,-104.375000000000000,52.625000000000000,-104.125000000000000,52.375000000000000,6,95,116708,7374,0,0
2288,-104.375000000000000,52.375000000000000,-104.125000000000000,52.125000000000000,7,95,117364,7429,0,0
2289,-104.375000000000000,52.125000000000000,-104.125000000000000,51.875000000000000,8,95,118018,7483,0,0
2290,-104.375000000000000,51.875000000000000,-104.125000000000000,51.625000000000000,9,95,118669,7534,0,0
2291,-104.375000000000000,51.625000000000000,-104.125000000000000,51.375000000000000,10,95,119318,7586,0,0
2292,-104.375000000000000,51.375000000000000,-104.125000000000000,51.125000000000000,11,95,119964,7642,0,0
