lat,lon,total_acres,pseu_acres,abies_acres
50,-112.75,77.81210513014899,77.81210513014899,0
49.75,-112.75,341.62644254892103,341.62644254892103,0
49.5,-112.75,15.498629795714079,15.498629795714079,0
49.25,-112.75,30.95297029702876,30.95297029702876,0
54,-112.5,0,0,0
53,-126.5,69884.1495185695,1428.4745529573581,69868.2775790922
53.75,-112.5,0,0,0
53.5,-112.5,0,0,0
53.25,-112.5,0,0,0
53,-112.5,0,0,0
52.75,-112.5,0,0,0
52.5,-112.5,0,0,0
52.25,-112.5,0,0,0
52,-112.5,0,0,0
51.75,-112.5,0,0,0
51.5,-112.5,0,0,0
50.5,-128,44952.46085644216,6070.306734578377,39617.94887757031
52.75,-126.5,67027.51297459716,7433.413001912041,65997.29582081402
51.25,-112.5,0,0,0
51,-112.5,0,0,0
50.75,-112.5,140.77012383900887,140.77012383900887,0
50.5,-112.5,0,0,0
50.25,-112.5,0,0,0
50,-112.5,0,0,0
49.75,-112.5,326.1797992471766,326.1797992471766,0
49.5,-112.5,0,0,0
49.25,-112.5,15.47648514851438,15.47648514851438,0
52.5,-126.5,54896.27823728811,20477.308745762704,44404.42684745758
54,-112.25,0,0,0
53.75,-112.25,0,0,0
53.5,-112.25,0,0,0
53.25,-112.25,0,0,0
53,-112.25,0,0,0
52.75,-112.25,0,0,0
52.5,-112.25,0,0,0
52.25,-126.5,47558.648357565966,13019.377490576235,43608.5945072698
52.25,-112.25,0,0,0
52,-112.25,0,0,0
51.75,-112.25,0,0,0
51.5,-112.25,0,0,0
51.25,-112.25,0,0,0
51,-112.25,78.3575883575884,78.3575883575884,0
50.75,-112.25,234.61687306501562,234.61687306501562,0
50.5,-112.25,0,0,0
50.25,-112.25,31.181066293421015,31.181066293421015,0
50,-112.25,31.120909665192485,31.120909665192485,0
52,-126.5,55404.25290736528,14766.053736131582,48368.29140489235
49.75,-112.25,0,0,0
49.5,-112.25,0,0,0
49.25,-112.25,0,0,0
54,-112,0,0,0
53.75,-112,0,0,0
53.5,-112,0,0,0
51.75,-126.5,63153.64167219636,12851.21486396812,57043.014996682134
53.25,-112,0,0,0
53,-112,0,0,0
52.75,-112,0,0,0
52.5,-112,0,0,0
52.25,-112,0,0,0
52,-112,0,0,0
51.75,-112,0,0,0
51.5,-112,0,0,0
