id,left,top,right,bottom,row_index,col_index,acres2,_count,_sum,_mean
76,-127.375000000000000,53.375000000000000,-127.125000000000000,53.125000000000000,3,3,114727,7216,2813,0.389828159645233
77,-127.375000000000000,53.125000000000000,-127.125000000000000,52.875000000000000,4,3,115389,7269,1846,0.253955152015408
78,-127.375000000000000,52.875000000000000,-127.125000000000000,52.625000000000000,5,3,116050,7323,1666,0.227502389730985
79,-127.375000000000000,52.625000000000000,-127.125000000000000,52.375000000000000,6,3,116708,5839,3112,0.532967973968145
80,-127.375000000000000,52.375000000000000,-127.125000000000000,52.125000000000000,7,3,117364,6161,3132,0.508359032624574
81,-127.375000000000000,52.125000000000000,-127.125000000000000,51.875000000000000,8,3,118018,7479,3707,0.495654499264608
82,-127.375000000000000,51.875000000000000,-127.125000000000000,51.625000000000000,9,3,118669,7077,3765,0.532005086901229
83,-127.375000000000000,51.625000000000000,-127.125000000000000,51.375000000000000,10,3,119318,7443,3290,0.442026064758834
84,-127.375000000000000,51.375000000000000,-127.125000000000000,51.125000000000000,11,3,119964,6778,2814,0.415166715845382
85,-127.375000000000000,51.125000000000000,-127.125000000000000,50.875000000000000,12,3,120608,6179,1112,0.179964395533258
86,-127.375000000000000,50.875000000000000,-127.125000000000000,50.625000000000000,13,3,121250,851,13,0.0152761457109283
87,-127.375000000000000,50.625000000000000,-127.125000000000000,50.375000000000000,14,3,121889,7665,2231,0.291063274624918
88,-127.375000000000000,50.375000000000000,-127.125000000000000,50.125000000000000,15,3,122526,7713,4463,0.578633475949695
89,-127.375000000000000,50.125000000000000,-127.125000000000000,49.875000000000000,16,3,123161,3990,1533,0.384210526315789
90,-127.375000000000000,49.875000000000000,-127.125000000000000,49.625000000000000,17,3,123793,81,2,0.0246913580246914
91,-127.375000000000000,49.625000000000000,-127.125000000000000,49.375000000000000,18,3,124423,0,0,
92,-127.375000000000000,49.375000000000000,-127.125000000000000,49.125000000000000,19,3,125050,0,0,
93,-127.375000000000000,49.125000000000000,-127.125000000000000,48.875000000000000,20,3,125675,0,0,
94,-127.375000000000000,48.875000000000000,-127.125000000000000,48.625000000000000,21,3,126297,0,0,
95,-127.375000000000000,48.625000000000000,-127.125000000000000,48.375000000000000,22,3,126917,0,0,
96,-127.375000000000000,48.375000000000000,-127.125000000000000,48.125000000000000,23,3,127534,0,0,
97,-127.125000000000000,54.125000000000000,-126.875000000000000,53.875000000000000,0,4,112725,7061,3692,0.522872114431384
98,-127.125000000000000,53.875000000000000,-126.875000000000000,53.625000000000000,1,4,113394,7115,4127,0.580042164441321
99,-127.125000000000000,53.625000000000000,-126.875000000000000,53.375000000000000,2,4,114062,7165,3879,0.541381716678297
100,-127.125000000000000,53.375000000000000,-126.875000000000000,53.125000000000000,3,4,114727,7218,3645,0.50498753117207
101,-127.125000000000000,53.125000000000000,-126.875000000000000,52.875000000000000,4,4,115389,7262,2635,0.362847700358028
102,-127.125000000000000,52.875000000000000,-126.875000000000000,52.625000000000000,5,4,116050,6056,3318,0.547886393659181
103,-127.125000000000000,52.625000000000000,-126.875000000000000,52.375000000000000,6,4,116708,7223,3055,0.422954451059117
104,-127.125000000000000,52.375000000000000,-126.875000000000000,52.125000000000000,7,4,117364,5987,3330,0.556205111073994
105,-127.125000000000000,52.125000000000000,-126.875000000000000,51.875000000000000,8,4,118018,7482,1747,0.23349371825715
