lat,lon,land
34.5,-114.5,TRUE
34.5,-114.25,TRUE
34.5,-114,TRUE
34.5,-113.75,TRUE
34.5,-113.5,TRUE
34.5,-113.25,TRUE
34.5,-113,TRUE
34.5,-112.75,TRUE
34.5,-112.5,TRUE
34.5,-112.25,TRUE
34.5,-112,TRUE
34.5,-111.75,TRUE
34.5,-111.5,TRUE
34.5,-111.25,TRUE
34.5,-111,TRUE
34.5,-110.75,TRUE
34.5,-110.5,TRUE
34.5,-110.25,TRUE
34.5,-110,TRUE
34.5,-109.75,TRUE
34.5,-109.5,TRUE
34.5,-109.25,TRUE
34.5,-109,TRUE
34.5,-108.75,TRUE
34.5,-108.5,TRUE
34.5,-108.25,TRUE
34.5,-108,TRUE
34.5,-107.75,TRUE
34.5,-107.5,TRUE
34.5,-107.25,TRUE
34.5,-107,TRUE
34.5,-106.75,TRUE
34.5,-106.5,TRUE
34.5,-106.25,TRUE
34.5,-106,TRUE
34.5,-105.75,TRUE
34.5,-105.5,TRUE
34.5,-105.25,TRUE
34.5,-105,TRUE
34.5,-104.75,TRUE
34.5,-104.5,TRUE
34.5,-104.25,TRUE
34.5,-104,TRUE
34.75,-120.5,TRUE
34.75,-120.25,TRUE
34.75,-120,TRUE
34.75,-119.75,TRUE
34.75,-119.5,TRUE
34.75,-119.25,TRUE
34.75,-119,TRUE
34.75,-118.75,TRUE
34.75,-118.5,TRUE
34.75,-118.25,TRUE
34.75,-118,TRUE
34.75,-117.75,TRUE
34.75,-117.5,TRUE
34.75,-117.25,TRUE
34.75,-117,TRUE
34.75,-116.75,TRUE
34.75,-116.5,TRUE
34.75,-116.25,TRUE
34.75,-116,TRUE
34.75,-115.75,TRUE
34.75,-115.5,TRUE
34.75,-115.25,TRUE
34.75,-115,TRUE
34.75,-114.75,TRUE
34.75,-114.5,TRUE
34.75,-114.25,TRUE
34.75,-114,TRUE
34.75,-113.75,TRUE
34.75,-113.5,TRUE
34.75,-113.25,TRUE
34.75,-113,TRUE
34.75,-112.75,TRUE
34.75,-112.5,TRUE
34.75,-112.25,TRUE
34.75,-112,TRUE
34.75,-111.75,TRUE
34.75,-111.5,TRUE
34.75,-111.25,TRUE
34.75,-111,TRUE
34.75,-110.75,TRUE
34.75,-110.5,TRUE
34.75,-110.25,TRUE
34.75,-110,TRUE
34.75,-109.75,TRUE
34.75,-109.5,TRUE
34.75,-109.25,TRUE
34.75,-109,TRUE
34.75,-108.75,TRUE
34.75,-108.5,TRUE
34.75,-108.25,TRUE
34.75,-108,TRUE
34.75,-107.75,TRUE
34.75,-107.5,TRUE
34.75,-107.25,TRUE
34.75,-107,TRUE
34.75,-106.75,TRUE
34.75,-106.5,TRUE
34.75,-106.25,TRUE
34.75,-106,TRUE
34.75,-105.75,TRUE
34.75,-105.5,TRUE
34.75,-105.25,TRUE
34.75,-105,TRUE
34.75,-104.75,TRUE
34.75,-104.5,TRUE
34.75,-104.25,TRUE
34.75,-104,TRUE
35,-120.5,TRUE
35,-120.25,TRUE
35,-120,TRUE
35,-119.75,TRUE
35,-119.5,TRUE
35,-119.25,TRUE
35,-119,TRUE
35,-118.75,TRUE
35,-118.5,TRUE
35,-118.25,TRUE
35,-118,TRUE
35,-117.75,TRUE
35,-117.5,TRUE
35,-117.25,TRUE
35,-117,TRUE
35,-116.75,TRUE
35,-116.5,TRUE
35,-116.25,TRUE
35,-116,TRUE
35,-115.75,TRUE
35,-115.5,TRUE
35,-115.25,TRUE
35,-115,TRUE
35,-114.75,TRUE
35,-114.5,TRUE
35,-114.25,TRUE
35,-114,TRUE
35,-113.75,TRUE
35,-113.5,TRUE
35,-113.25,TRUE
35,-113,TRUE
35,-112.75,TRUE
35,-112.5,TRUE
35,-112.25,TRUE
35,-112,TRUE
35,-111.75,TRUE
35,-111.5,TRUE
35,-111.25,TRUE
35,-111,TRUE
35,-110.75,TRUE
35,-110.5,TRUE
35,-110.25,TRUE
35,-110,TRUE
35,-109.75,TRUE
35,-109.5,TRUE
35,-109.25,TRUE
35,-109,TRUE
35,-108.75,TRUE
35,-108.5,TRUE
35,-108.25,TRUE
35,-108,TRUE
35,-107.75,TRUE
35,-107.5,TRUE
35,-107.25,TRUE
35,-107,TRUE
35,-106.75,TRUE
35,-106.5,TRUE
35,-106.25,TRUE
35,-106,TRUE
35,-105.75,TRUE
35,-105.5,TRUE
35,-105.25,TRUE
35,-105,TRUE
35,-104.75,TRUE
35,-104.5,TRUE
35,-104.25,TRUE
35,-104,TRUE
35.25,-120.75,TRUE
35.25,-120.5,TRUE
35.25,-120.25,TRUE
35.25,-120,TRUE
35.25,-119.75,TRUE
35.25,-119.5,TRUE
35.25,-119.25,TRUE
35.25,-119,TRUE
35.25,-118.75,TRUE
35.25,-118.5,TRUE
35.25,-118.25,TRUE
35.25,-118,TRUE
35.25,-117.75,TRUE
35.25,-117.5,TRUE
35.25,-117.25,TRUE
35.25,-117,TRUE
35.25,-116.75,TRUE
35.25,-116.5,TRUE
35.25,-116.25,TRUE
35.25,-116,TRUE
35.25,-115.75,TRUE
35.25,-115.5,TRUE
35.25,-115.25,TRUE
35.25,-115,TRUE
35.25,-114.75,TRUE
35.25,-114.5,TRUE
35.25,-114.25,TRUE
35.25,-114,TRUE
35.25,-113.75,TRUE
35.25,-113.5,TRUE
35.25,-113.25,TRUE
35.25,-113,TRUE
35.25,-112.75,TRUE
35.25,-112.5,TRUE
35.25,-112.25,TRUE
35.25,-112,TRUE
35.25,-111.75,TRUE
35.25,-111.5,TRUE
35.25,-111.25,TRUE
35.25,-111,TRUE
35.25,-110.75,TRUE
35.25,-110.5,TRUE
35.25,-110.25,TRUE
35.25,-110,TRUE
35.25,-109.75,TRUE
35.25,-109.5,TRUE
35.25,-109.25,TRUE
35.25,-109,TRUE
35.25,-108.75,TRUE
35.25,-108.5,TRUE
35.25,-108.25,TRUE
35.25,-108,TRUE
35.25,-107.75,TRUE
35.25,-107.5,TRUE
35.25,-107.25,TRUE
35.25,-107,TRUE
35.25,-106.75,TRUE
35.25,-106.5,TRUE
35.25,-106.25,TRUE
35.25,-106,TRUE
35.25,-105.75,TRUE
35.25,-105.5,TRUE
35.25,-105.25,TRUE
35.25,-105,TRUE
35.25,-104.75,TRUE
35.25,-104.5,TRUE
35.25,-104.25,TRUE
35.25,-104,TRUE
35.5,-121,TRUE
35.5,-120.75,TRUE
35.5,-120.5,TRUE
35.5,-120.25,TRUE
35.5,-120,TRUE
35.5,-119.75,TRUE
35.5,-119.5,TRUE
35.5,-119.25,TRUE
35.5,-119,TRUE
35.5,-118.75,TRUE
35.5,-118.5,TRUE
35.5,-118.25,TRUE
35.5,-118,TRUE
35.5,-117.75,TRUE
35.5,-117.5,TRUE
35.5,-117.25,TRUE
35.5,-117,TRUE
35.5,-116.75,TRUE
35.5,-116.5,TRUE
35.5,-116.25,TRUE
35.5,-116,TRUE
35.5,-115.75,TRUE
35.5,-115.5,TRUE
35.5,-115.25,TRUE
35.5,-115,TRUE
35.5,-114.75,TRUE
35.5,-114.5,TRUE
35.5,-114.25,TRUE
35.5,-114,TRUE
35.5,-113.75,TRUE
35.5,-113.5,TRUE
35.5,-113.25,TRUE
35.5,-113,TRUE
35.5,-112.75,TRUE
35.5,-112.5,TRUE
35.5,-112.25,TRUE
35.5,-112,TRUE
35.5,-111.75,TRUE
35.5,-111.5,TRUE
35.5,-111.25,TRUE
35.5,-111,TRUE
35.5,-110.75,TRUE
35.5,-110.5,TRUE
35.5,-110.25,TRUE
35.5,-110,TRUE
35.5,-109.75,TRUE
35.5,-109.5,TRUE
35.5,-109.25,TRUE
35.5,-109,TRUE
35.5,-108.75,TRUE
35.5,-108.5,TRUE
35.5,-108.25,TRUE
35.5,-108,TRUE
35.5,-107.75,TRUE
35.5,-107.5,TRUE
35.5,-107.25,TRUE
35.5,-107,TRUE
35.5,-106.75,TRUE
35.5,-106.5,TRUE
35.5,-106.25,TRUE
35.5,-106,TRUE
35.5,-105.75,TRUE
35.5,-105.5,TRUE
35.5,-105.25,TRUE
35.5,-105,TRUE
35.5,-104.75,TRUE
35.5,-104.5,TRUE
35.5,-104.25,TRUE
35.5,-104,TRUE
35.75,-121.25,TRUE
35.75,-121,TRUE
35.75,-120.75,TRUE
35.75,-120.5,TRUE
35.75,-120.25,TRUE
35.75,-120,TRUE
35.75,-119.75,TRUE
35.75,-119.5,TRUE
35.75,-119.25,TRUE
35.75,-119,TRUE
35.75,-118.75,TRUE
35.75,-118.5,TRUE
35.75,-118.25,TRUE
35.75,-118,TRUE
35.75,-117.75,TRUE
35.75,-117.5,TRUE
35.75,-117.25,TRUE
35.75,-117,TRUE
35.75,-116.75,TRUE
35.75,-116.5,TRUE
35.75,-116.25,TRUE
35.75,-116,TRUE
35.75,-115.75,TRUE
35.75,-115.5,TRUE
35.75,-115.25,TRUE
35.75,-115,TRUE
35.75,-114.75,TRUE
35.75,-114.5,TRUE
35.75,-114.25,TRUE
35.75,-114,TRUE
35.75,-113.75,TRUE
35.75,-113.5,TRUE
35.75,-113.25,TRUE
35.75,-113,TRUE
35.75,-112.75,TRUE
35.75,-112.5,TRUE
35.75,-112.25,TRUE
35.75,-112,TRUE
35.75,-111.75,TRUE
