clust_n,max_trap,sum_trap,num_y,max_year,ob,break_end,clust_lon,clust_lat
41,36.6,63.800000000000004,9,2022,breaks5,2022,-120.01710287889404,48.01703209495524
42,54.8,117,4,2021,breaks5,2023,-115.417919483699,45.884855144341344
43,0,0,3,1984,breaks1,1986,-118.33918444310122,44.21999761062129
43,77.3,91.3,9,1992,breaks2,1995,-118.33918444310122,44.21999761062129
43,21.4,59.60000000000001,9,1998,breaks3,2004,-118.33918444310122,44.21999761062129
43,33.2,90.39999999999999,8,2007,breaks4,2013,-118.33918444310122,44.21999761062129
43,34.2,59.6,9,2018,breaks5,2022,-118.33918444310122,44.21999761062129
44,42.8,121.60000000000001,6,1983,breaks1,1987,-116.237264999497,44.49767466462897
44,37,60,9,1990,breaks2,1996,-116.237264999497,44.49767466462897
44,3.5,11.9,6,2000,breaks3,2005,-116.237264999497,44.49767466462897
44,0,0,1,2023,breaks5,2023,-116.237264999497,44.49767466462897
45,2,4,4,1982,breaks1,1985,-121.68052624576995,42.45661707644438
