PlotName,State,manual_id,lat,lon,years_trapped,max_trap
Calimus,OR,1653,42.63895,-121.55505,2,0
Camas_Land,WA,1292,47.46685,-120.57993,24,51
Camp_Creek,OR,1526,44.72398,-118.34509,4,5.6
Camp_Creek,WA,1668,46.57154,-121.25293,2,0
Camp_Wooten,WA,866,46.24366,-117.68455,23,42
Canary Creek,ID,2346,47.49,-116.52,16,12.8
Canoe Creek East,BC,3051,51.46680351696183,-122.15063,8,2.8
Canoe Creek West,BC,3052,51.46680351696183,-122.15063,7,6
Canteen_Creek,WA,631,48.04093,-118.44254,43,24.6
Canyon Junction,ID,2144,46.31955,-115.60226,23,14.4
Canyon_Creek,WA,1464,47.38262,-121.26361,1,0
Captain John,ID,2127,46.10356,-116.83864,21,3.6
Capulin_Snow_Play_Area,NM,524,35.216533,-106.416356,16,31.6
Carissa_Lookout,NM,499,32.675148,-105.615724,4,5
Carmack_Canyon,WA,1161,46.79363,-120.92316,26,2.6
Carmack_Cyn,WA,1308,46.77592,-120.91937,5,1.2
Carpenter Peak 1,ID,2325,47.05714,-116.45869,23,57.8
Carson_Creek,WA,635,48.31389,-118.3957,39,13
Cascade,CA,968,39.979237,-120.929035,15,28.8
Cascades,BC,5010,49.01502361655209,-118.1997049,14,7.8
Castille Falls,WA,1323,46.41669,-121.03344,15,11
Cat_Creek_I_Upper,CA,606,38.59305,-120.329938,4,20.6
Cat_Creek_J_Lower,CA,608,38.59305,-120.329938,4,34
Cathey_Vista,NM,486,32.806668,-105.802548,9,0
Cathy_Summit,OR,1523,45.09772,-117.67239,27,4.8
Cave_Mtn,OR,611,42.61222,-121.82306,39,37.8
Cca_Peak,WA,625,48.35833,-117.14167,5,1.4
Cecilia_Cr.,WA,924,48.79099,-119.73786,39,12.6
Cedar Butte,ID,2221,47.0078,-116.30355,41,76.2
Cedar Creek,ID,2404,46.324344,-115.728425,4,2.2
Cedar_Creek_SO,WA,1360,48.98848,-117.48471,21,8
Cedar_Creek_temp,WA,1383,48.98593,-117.48501,3,5.6
Cedar_Lake,WA,1038,48.93976,-117.58931,33,0.8
Cedar_Springs,OR,1010,42.52315,-121.67274,1,2
Cedar_Valley,WA,1014,45.95734,-120.92692,34,6
Celina,CA,1293,39.406029,-120.709847,5,4.8
Center Ridge,ID,2409,45.61781,-116.37062,7,5.4
Central_Camp,CA,1001,37.344453,-119.506744,7,44
Central_Peak,WA,655,48.20016,-118.75833,39,42.8
Chair Rocks,CO,316,39.407643,-105.237282,4,0.4
Chalk_Bluff,CA,1301,39.307519,-120.767399,8,55.2
Chamberlin_Spr,OR,281,44.43177,-119.89331,34,19.2
Chamokane_Creek,WA,1217,48.02614,-117.84246,26,15.3
Charles Butte,ID,2165,47.12136,-116.72396,47,84.8
Charles_Road,WA,946,47.81016,-117.63665,40,3
Chase,BC,4011,50.81216401,-119.6805256,25,36.3
Chase_Mountain,WA,1430,46.09335,-117.87679,1,0.2
Chasm,BC,3045,51.216710000000006,-121.482537,15,11
Chasm,BC,3046,51.216710000000006,-121.482537,3,2
Chelan_Ridge,WA,1485,47.84175,-120.28794,4,3.2
Chelan_State_Pk,WA,878,47.86564,-120.19179,42,25
Cherry Butte,ID,2225,46.8101,-116.54255,41,88.6
Cherry_Creek,OR,1655,42.40695,-121.49711,2,0.4
Cherry_Hill,CA,1287,39.4168,-120.7977,7,28.5
Chesaw,WA,1418,48.94296,-119.06548,8,0.8
Chewelah,WA,892,48.26836,-117.64856,42,10.8
Cheyenne Mountain,CO,367,38.733576,-104.839476,2,1.8
Chicamun_Canyon,WA,1214,48.27043,-120.20759,25,38
Chicken_Hill,OR,1491,44.98378,-118.37994,29,5.8
Child Creek,ID,2321,47.097493,-116.292058,17,25.2
Chinaman,CA,1102,38.2007507,-120.0821312,26,56.4
Chiwawa,WA,1496,47.89704,-120.7029,1,0
Chokecherry Flat,ID,2051,45.17516174,-116.4052643,5,0
Chopaka,WA,1282,48.89485,-119.70931,24,53.8
Chopaka_Road,WA,1402,48.93158,-119.68649,14,27.8
Chowchilla_Mtn,CA,1044,37.522621,-119.728072,6,4.6
Christie Creek,ID,2116,45.617986,-116.340711,17,8
Christina Lake,BC,5009,49.04587772443106,-118.2037251,14,0.4
Chumstick,WA,1484,47.63417,-120.44695,4,0.2
Clark,WA,1353,47.69167,-120.625,18,22.6
Clark_Creek,WA,645,48.42031,-119.1706,42,9.25
Clark_Spring,OR,1004,43.9775,-119.48722,35,75.6
Cle_Elum_Lake,WA,1467,47.28244,-121.09373,1,0
Clear_Creek,MT,49,46.081531,-112.981904,22,18
Clear_Creek,WA,1634,46.64387,-121.31601,1,0
Clearwater,WA,665,46.29478,-121.36401,43,16.4
Clearwater_LO,WA,1431,46.20554,-117.54394,11,8.2
Clinton,BC,3041,51.09270000000001,-121.5865,3,1
Clinton Creek,BC,3006,51.1165,-121.486,12,4
Closed Sweat Creek Rd,WA,1740,48.38125,-119.8158,5,0
Clr_Cr._Beecher,OR,460,44.98635,-117.11372,42,99
Cody_Lake,WA,656,48.3425,-118.60917,37,40.4
Coeur_D'Alene_Mtn,ID,2162,47.59137,-116.689205,2,8.4
Colburn_Hill,WA,1074,48.34368,-118.03079,2,3.3
Cold_Spr.,OR,1518,45.26431,-118.86767999999999,1,0.4
Cold_Spring,OR,1003,43.98209,-119.16673,35,79.8
Cold_Springs,OR,1504,45.10088,-116.97274,1,0.2
Coleman-Boulder,WA,1298,47.21166,-120.39698,2,1.8
Collins GL,CA,13,41.97917278,-120.2692889,25,65.6
Collins_Timber,OR,736,42.24382,-120.28697,37,48
Collins_Timber,OR,1203,42.36057,-120.52243,18,13.8
Collins_Timber,OR,1204,42.40396,-120.46411,10,6.4
Collins_Timber,OR,1205,42.43349,-120.46425,17,28
Collins_Timber,OR,1206,42.28706,-120.15077,9,4.6
Collins_Timber,OR,1207,42.25824,-120.18882,20,31.2
Colockum_Rd,WA,1143,47.25165,-120.19738,27,27.8
Colson Creek,ID,2019,45.348132,-114.532916,9,39
Colville,WA,890,48.54749,-117.83562,19,15.6
Colville,WA,1325,48.63447,-117.89597,23,1.6
Committee_Creek,OR,814,44.19887,-120.21617,32,25.8
Compound,WA,1194,48.183839999999996,-117.04653,4,2
