State,clust_n,breaks
OR,65,breaks2
OR,65,breaks3
OR,65,breaks4
OR,65,breaks5
OR,67,breaks1
OR,67,breaks2
OR,67,breaks3
OR,67,breaks4
OR,67,breaks5
OR,73,breaks1
OR,73,breaks2
OR,73,breaks3
OR,73,breaks4
OR,73,breaks5
OR,77,breaks1
OR,77,breaks2
OR,77,breaks3
OR,77,breaks4
OR,77,breaks5
OR,78,breaks1
OR,78,breaks2
OR,78,breaks3
OR,78,breaks4
OR,78,breaks5
OR,79,breaks1
OR,79,breaks2
OR,79,breaks3
OR,79,breaks4
OR,79,breaks5
OR,86,breaks1
OR,86,breaks2
OR,86,breaks3
OR,86,breaks4
OR,86,breaks5
OR,92,breaks1
OR,92,breaks2
OR,92,breaks3
OR,92,breaks4
OR,92,breaks5
OR,96,breaks1
OR,96,breaks2
OR,96,breaks3
OR,96,breaks4
OR,96,breaks5
OR,97,breaks1
OR,97,breaks2
OR,97,breaks3
OR,97,breaks4
OR,97,breaks5
OR,101,breaks1
OR,101,breaks2
OR,101,breaks3
OR,101,breaks4
OR,101,breaks5
OR,102,breaks1
OR,102,breaks2
OR,102,breaks3
OR,102,breaks4
OR,102,breaks5
OR,105,breaks1
OR,105,breaks2
OR,105,breaks3
OR,105,breaks4
OR,105,breaks5
OR,108,breaks1
OR,108,breaks2
OR,108,breaks3
OR,108,breaks4
OR,108,breaks5
OR,109,breaks1
OR,109,breaks2
OR,109,breaks3
OR,109,breaks4
OR,109,breaks5
OR,112,breaks1
OR,112,breaks2
OR,112,breaks3
OR,112,breaks4
OR,112,breaks5
OR,125,breaks1
OR,125,breaks2
OR,125,breaks3
OR,125,breaks4
OR,125,breaks5
OR,126,breaks1
OR,126,breaks2
OR,126,breaks3
OR,126,breaks4
OR,126,breaks5
OR,127,breaks1
OR,127,breaks2
OR,127,breaks3
OR,127,breaks4
OR,127,breaks5
OR,128,breaks1
OR,128,breaks2
OR,128,breaks3
OR,128,breaks4
OR,128,breaks5
OR,129,breaks1
OR,129,breaks2
OR,129,breaks3
OR,129,breaks4
OR,129,breaks5
OR,132,breaks1
OR,132,breaks2
OR,132,breaks3
OR,132,breaks4
OR,132,breaks5
OR,133,breaks1
OR,133,breaks2
OR,133,breaks3
OR,133,breaks4
OR,133,breaks5
OR,134,breaks1
OR,134,breaks2
OR,134,breaks3
OR,134,breaks4
OR,134,breaks5
OR,135,breaks1
OR,135,breaks2
OR,135,breaks3
OR,135,breaks4
OR,135,breaks5
OR,136,breaks1
OR,136,breaks2
OR,136,breaks3
OR,136,breaks4
OR,136,breaks5
OR,137,breaks1
OR,137,breaks2
OR,137,breaks3
OR,137,breaks4
OR,137,breaks5
OR,141,breaks1
OR,141,breaks2
OR,141,breaks3
OR,141,breaks4
OR,141,breaks5
OR,144,breaks1
OR,144,breaks2
OR,144,breaks3
OR,144,breaks4
OR,144,breaks5
OR,145,breaks1
OR,145,breaks2
OR,145,breaks3
OR,145,breaks4
OR,145,breaks5
OR,146,breaks1
OR,146,breaks2
OR,146,breaks3
OR,146,breaks4
OR,146,breaks5
OR,147,breaks1
OR,147,breaks2
OR,147,breaks3
OR,147,breaks4
OR,147,breaks5
OR,148,breaks1
OR,148,breaks2
OR,148,breaks3
OR,148,breaks4
OR,148,breaks5
OR,151,breaks1
OR,151,breaks2
OR,151,breaks3
OR,151,breaks4
OR,151,breaks5
OR,152,breaks1
OR,152,breaks2
OR,152,breaks3
OR,152,breaks4
OR,152,breaks5
OR,160,breaks1
OR,160,breaks2
OR,160,breaks3
OR,160,breaks4
OR,160,breaks5
OR,165,breaks1
OR,165,breaks2
OR,165,breaks3
OR,165,breaks4
OR,165,breaks5
OR,169,breaks1
OR,169,breaks2
OR,169,breaks3
OR,169,breaks4
OR,169,breaks5
OR,171,breaks1
OR,171,breaks2
OR,171,breaks3
OR,171,breaks4
OR,171,breaks5
OR,172,breaks1
OR,172,breaks2
OR,172,breaks3
OR,172,breaks4
OR,172,breaks5
OR,174,breaks1
OR,174,breaks2
OR,174,breaks3
OR,174,breaks4
OR,174,breaks5
OR,175,breaks1
OR,175,breaks2
OR,175,breaks3
OR,175,breaks4
OR,175,breaks5
OR,188,breaks1
OR,188,breaks2
OR,188,breaks3
OR,188,breaks4
OR,188,breaks5
OR,189,breaks1
OR,189,breaks2
OR,189,breaks3
OR,189,breaks4
OR,189,breaks5
OR,190,breaks1
OR,190,breaks2
OR,190,breaks3
OR,190,breaks4
OR,190,breaks5
OR,211,breaks1
OR,211,breaks2
OR,211,breaks3
OR,211,breaks4
OR,211,breaks5
OR,215,breaks1
OR,215,breaks2
OR,215,breaks3
OR,215,breaks4
OR,215,breaks5
OR,222,breaks1
OR,222,breaks2
OR,222,breaks3
OR,222,breaks4
OR,222,breaks5
OR,223,breaks1
OR,223,breaks2
OR,223,breaks3
