area_meters,area_km,year,num,type,lon_cent,lat_cent,manual_id
1674578.229518013,1.6745782295180132,2007,NA,not to break,-121.81474739109956,41.31476846963293,5724
86022.29000507295,0.08602229000507296,2007,NA,not to break,-121.85072650970513,41.33382660744225,5725
2202341.819663435,2.202341819663435,2007,NA,not to break,-121.80691469485204,41.339302479933835,5726
166599.81331344694,0.16659981331344695,2007,NA,not to break,-121.82908457202912,41.35421260412744,5727
1248466.7099115886,1.2484667099115885,2007,NA,not to break,-121.79839035604132,41.35475825430125,5728
587519.6255961806,0.5875196255961805,2007,NA,not to break,-121.8099589466332,41.35624069272255,5729
205988.28409707543,0.20598828409707545,2007,NA,not to break,-115.99104790590658,41.47170089549869,5730
389795.2340142131,0.38979523401421307,2007,NA,not to break,-115.52412382105292,41.897096454077655,5731
1627553.9137623478,1.6275539137623478,2007,NA,not to break,-115.3432585951467,41.80637784758951,5732
806907.940799105,0.806907940799105,2007,NA,not to break,-115.2929591496,41.81031343282956,5733
641724.2640659586,0.6417242640659585,2007,NA,not to break,-115.27555792680724,41.821099160338925,5734
923787.8509296096,0.9237878509296096,2007,NA,not to break,-115.26573079201424,41.82840570025719,5735
976539.8386416994,0.9765398386416994,2007,NA,not to break,-115.25193703325913,41.84964621329101,5736
2043088.138391912,2.043088138391912,2007,NA,not to break,-115.46290281527504,41.852345245437405,5737
2984359.442884744,2.984359442884744,2007,NA,not to break,-115.36513284442836,41.86725686291738,5738
379001.0618303567,0.3790010618303567,2007,NA,not to break,-115.47391736981233,41.87264272641404,5739
1237909.5552666483,1.2379095552666486,2007,NA,not to break,-115.27400408216288,41.89162424008533,5740
47036.485888611525,0.04703648588861153,2007,NA,not to break,-114.38714658500164,43.58449933091069,5741
30811.48093508184,0.03081148093508184,2007,NA,not to break,-114.38177248356,43.586020633204214,5742
116775.45347706974,0.11677545347706972,2007,NA,not to break,-114.37916006386004,43.60448375580609,5743
29208.263521254063,0.02920826352125406,2007,NA,not to break,-114.36643745307158,43.62478422341627,5744
120329.9831722714,0.12032998317227139,2007,NA,not to break,-114.36941557136689,43.63143844370768,5745
678348.9102509636,0.6783489102509637,2007,NA,not to break,-114.626765250197,47.97357679175448,5746
56462.61799220741,0.0564626179922074,2007,NA,not to break,-114.30651216604588,48.04215765488869,5747
271037.7851013467,0.2710377851013467,2007,NA,not to break,-114.59615272376443,48.05666072607869,5748
57806.00642225146,0.05780600642225146,2007,NA,not to break,-114.50918989718144,48.07535985999864,5749
253539.55364610348,0.2535395536461035,2007,NA,not to break,-114.54031238738511,48.07853746428849,5750
92417.67422362044,0.09241767422362045,2007,NA,not to break,-114.60402866348748,48.084777260726426,5751
126862.43181374203,0.12686243181374204,2007,NA,not to break,-114.40880911169162,48.08602837244293,5752
97068.50593329688,0.09706850593329688,2007,NA,not to break,-114.34007419887016,48.09391594941146,5753
204450.93335017096,0.20445093335017095,2007,NA,not to break,-114.4046639209482,48.094361233376695,5754
