df_id,lat_site,lon_site,mean_biomass,max_biomass,mean_cover
10116,50.375,-119,152.28193832599118,255,89.48678414096916
10117,50.375,-118.975,158.91275167785233,255,84.11185682326625
10118,50.375,-118.95,140.51876379690947,255,77.10154525386312
10119,50.375,-118.925,122.84922394678485,255,74.11086474501113
1012,49.125,-120.35,100.91390728476819,252,78.64900662251657
10120,50.375,-118.9,118.69911504424766,255,77.04867256637174
10121,50.375,-118.875,132.69026548672568,255,82.60398230088498
10122,50.375,-118.85,162.61197339246127,255,89.0088691796009
10123,50.375,-118.825,158.32017543859658,255,86.38815789473682
10124,50.375,-118.8,119.74776785714292,255,74.11383928571432
10125,50.375,-118.775,99.26991150442483,255,65.51327433628312
10126,50.375,-118.75,122.95143487858721,255,69.38631346578364
10127,50.375,-118.725,160.7995594713656,255,80.62775330396478
10128,50.375,-118.7,181.67982456140345,255,91.67543859649126
10129,50.375,-118.675,172.97085201793723,255,92.65919282511211
1013,49.125,-120.325,102.44690265486727,255,71.61283185840705
10130,50.375,-118.65,136.90308370044053,255,83.5242290748899
10131,50.375,-118.625,121.38852097130244,255,83.02869757174395
10132,50.375,-118.6,137.1504424778762,255,85.77433628318585
10133,50.375,-118.575,178.82119205298008,255,90.58940397350996
10134,50.375,-118.55,152.89261744966433,255,69.55257270693514
10135,50.375,-118.525,136.4889380530975,255,60.82522123893814
10136,50.375,-118.5,134.09843400447429,255,62.49440715883661
10137,50.4,-123,34.55629139072848,252,20.028697571743887
10138,50.4,-122.975,69.66666666666667,252,41.254385964912295
10139,50.4,-122.95,122.12582781456949,255,63.90507726269315
1014,49.125,-120.3,103.4348785871965,255,73.01545253863135
10140,50.4,-122.925,133.0374449339207,255,68.41409691629957
10141,50.4,-122.9,126.84326710816777,255,67.08830022075058
10142,50.4,-122.875,120.88546255506608,255,66.12114537444934
10143,50.4,-122.85,118.7444933920704,255,68.60352422907481
10144,50.4,-122.825,152.96026490066228,255,84.60927152317882
10145,50.4,-122.8,152.63436123348018,255,82.71145374449341
10146,50.4,-122.775,142.70198675496684,255,80.27593818984552
10147,50.4,-122.75,132.94273127753306,255,75.02422907488987
10148,50.4,-122.725,136.63436123348018,255,75.15198237885461
10149,50.4,-122.7,155.34734513274338,255,80.59070796460178
1015,49.125,-120.275,112.52422907488986,255,76.87224669603522
10150,50.4,-122.675,134.05947136563861,255,69.41409691629958
10151,50.4,-122.65,86.45474613686521,255,46.1986754966887
10152,50.4,-122.625,26.83885209713023,252,15.375275938189803
10153,50.4,-122.6,7.295805739514321,226,4.152317880794688
