lat,lon,Cropland,Mixed Forest,No data,Temperate or sub-polar broadleaf deciduous forest,Temperate or sub-polar needleleaf forest,Temperate or sub-polar shrubland,Urban and Built-up,Water,Wetland,Temperate or sub-polar grassland,Barren Lands,Snow and Ice,Sub-polar or polar grassland-lichen-moss,Sub-polar or polar barren-lichen-moss,Sub-polar taiga needleleaf forest,near_needle
49,-121.225,0.012708498808578236,NA,NA,0.0023828435266084196,0.41382049245432884,0.33915806195393167,NA,0.009531374106433678,NA,0.22239872915011913,NA,NA,NA,NA,NA,TRUE
49,-121.2,NA,0.00875796178343949,NA,NA,0.9864649681528662,NA,NA,NA,0.004777070063694267,NA,NA,NA,NA,NA,NA,TRUE
49,-121.175,NA,0.010350318471337579,NA,0.03662420382165605,0.6990445859872612,0.23089171974522293,0.011146496815286623,0.01194267515923567,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-121.15,NA,NA,NA,NA,0.9768924302788845,0.00398406374501992,NA,0.007171314741035857,NA,NA,0.01195219123505976,NA,NA,NA,NA,TRUE
49,-121.125,0.03662420382165605,NA,NA,NA,0.6329617834394905,0.21178343949044587,0.003980891719745223,NA,NA,0.003980891719745223,0.09235668789808917,0.018312101910828025,NA,NA,NA,TRUE
49,-121.1,NA,NA,NA,NA,0.6626889419252188,0.22991249005568815,0.011137629276054098,NA,NA,0.0883054892601432,0.007955449482895784,NA,NA,NA,NA,TRUE
49,-121.075,NA,NA,NA,NA,0.24622716441620335,0.6528991262907069,NA,NA,NA,0.10087370929308975,NA,NA,NA,NA,NA,TRUE
49,-121.05,NA,NA,NA,NA,0.8999205718824463,0.02779984114376489,NA,0.013502779984114376,NA,NA,0.03971405877680699,0.019062748212867357,NA,NA,NA,TRUE
49,-121.025,NA,NA,NA,NA,0.3964968152866242,0.2627388535031847,0.005573248407643312,NA,NA,0.2746815286624204,0.06050955414012739,NA,NA,NA,NA,TRUE
49,-121,7.955449482895784e-4,NA,NA,NA,0.9387430389817024,0.04852824184566428,NA,0.006364359586316627,NA,NA,0.003977724741447892,0.0015910898965791568,NA,NA,NA,TRUE
49,-120.975,0.006364359586316627,NA,NA,NA,0.8782816229116945,0.09069212410501193,0.003977724741447892,0.00477326968973747,NA,NA,0.015910898965791568,NA,NA,NA,NA,TRUE
49,-120.95,0.007955449482895784,NA,NA,NA,0.8671439936356404,0.1026252983293556,0.003977724741447892,NA,NA,NA,0.016706443914081145,0.0015910898965791568,NA,NA,NA,TRUE
49,-120.925,0.00398406374501992,NA,NA,0.004780876494023904,0.37689243027888447,0.3593625498007968,NA,NA,NA,0.2549800796812749,NA,NA,NA,NA,NA,TRUE
49,-120.9,NA,0.003189792663476874,NA,NA,0.8197767145135566,0.10446570972886762,NA,0.07256778309409888,NA,NA,NA,NA,NA,NA,NA,TRUE
49,-120.875,NA,NA,NA,NA,0.7925278219395866,0.1383147853736089,NA,0.006359300476947536,NA,0.054848966613672494,0.00794912559618442,NA,NA,NA,NA,TRUE
49,-120.85,NA,NA,NA,NA,0.8745035742652899,0.07545671167593328,NA,0.046068308181096106,NA,0.003971405877680699,NA,NA,NA,NA,NA,TRUE
49,-120.825,NA,0.003194888178913738,NA,0.005591054313099041,0.7380191693290735,0.2380191693290735,NA,NA,NA,0.015175718849840255,NA,NA,NA,NA,NA,TRUE
49,-120.8,NA,NA,NA,0.0048,0.812,0.0512,NA,0.1128,NA,0.004,0.0152,NA,NA,NA,NA,TRUE
